id,theme,words,desc,imageUrl,moreInfoLink
1,mythology,lord ganesha,"Ganesha, also known as Ganapati and Vinayaka, is one of the best-known and most worshipped deities in the Hindu pantheon. Hindu denominations worship him regardless of affiliations. Devotion to Ganesha is widely diffused and extends to Jains and Buddhists.",https://imgur.com/Rjw6dXW.png ,https://en.wikipedia.org/wiki/Ganesha 
2,monuments,India gate,"The India Gate is a war memorial located astride the Rajpath, New Delhi. It stands as a memorial to 70,000 soldiers of the British Indian Army who died in between 1914 and 1921 in the First World War. 13,300 servicemen's names, including some soldiers and officers from the United Kingdom, are inscribed on the gate. Designed by Sir Edwin Lutyens, the gate evokes the architectural style of the triumphal arch.",https://imgur.com/7V8Y08P.png ,https://en.wikipedia.org/wiki/India_Gate 
3,culture,bharatnatyam,Bharatanatyam is a major form of Indian classical dance that originated in Tamil Nadu. It has flourished in the temples and courts of southern India since ancient times.,https://imgur.com/6385E5S.png,https://en.wikipedia.org/wiki/Bharatanatyam
4,monuments,statue of unity,"The Statue of Unity is a colossal statue of Indian statesman and independence activist Vallabhbhai Patel, who was the first Deputy Prime Minister and Home Minister of independent India and an adherent of Mahatma Gandhi during the nonviolent Indian Independence movement.  ",https://imgur.com/PntCGF6.png ,https://statueofunity.in/
5,mythology,Swastik,"The word swastika is derived from the Sanskrit swasti(good/auspicious). The swastika symbol, 卐 , is an ancient religious icon in the cultures of Eurasia. It is used as a symbol of divinity and spirituality in Indian religions, including Hinduism, Buddhism and Jainism. The word swastik is prevelent in indian culture since 500 BCE.",https://imgur.com/kdnbLwx.png ,https://en.wikipedia.org/wiki/Swastika 
6,personalities,Gautam Buddha,"Gautama Buddha, popularly known as the Buddha, was a Śramaṇa who lived in ancient India. He is regarded as the founder of the world religion of Buddhism. He lived during the 5th century B.C. Gautama was born into a wealthy family as a prince in present-day Nepal. Although he had an easy life, Gautama was moved by suffering in the world",https://imgur.com/tr8boPk.png ,https://en.wikipedia.org/wiki/Gautama_Buddha 
7,history,Terracota,"Terracotta-""baked earth"", a type of earthenware, is a clay-based ceramic, where the fired body is porous. Terracotta is the term normally used for sculpture made in earthenware. In India, traditional terracotta sculptures, mainly religious, are made. The demand for this craft is seasonal, mostly when new pottery and votive idols are required during harvest festival.",https://imgur.com/52tMtMB.png ,https://en.wikipedia.org/wiki/Terracotta 
8,culture,Indian Railways,"Indian Railways (IR) is a governmental entity under the Ministry of Railways that operates India's national railway system. It is run by the government as a public good and manages the fourth-largest railway network in the world by size, with a route length of 68,155 km as of March 2019. 40,576 km or 64% of all the broad-gauge routes are electrified with 25 kV 50 Hz AC electric traction as of August 2020. ",https://imgur.com/oQq4BTB.png,https://en.wikipedia.org/wiki/Indian_Railways 
9,history,Sitar,"The sitar is a plucked stringed instrument, originating from the Indian subcontinent, used in Hindustani classical music. The instrument was invented in medieval India and flourished in the 16th and 17th centuries and arrived at its present form in 18th-century India. ",https://imgur.com/CxspjKI.png ,https://en.wikipedia.org/wiki/Sitar 
10,monuments,Taj mahal,"The Taj Mahal is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra. It was commissioned in 1632 by the Mughal emperor Shah Jahan to house the tomb of his favourite wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. ",https://imgur.com/tcNuq8D.png ,https://en.wikipedia.org/wiki/Taj_Mahal 
11,personalities,Mahatma gandhi ,"Mohandas Karamchand Gandhi also known as ""The Father of the Nation(India)""(October 1869 – 30 January 1948) was an Indian lawyer, anti-colonial nationalist, and political ethicist, who employed nonviolent resistance to lead the successful campaign for India's independence from British rule.  ",https://i.imgur.com/BZ2Pwlg.jpeg,https://en.wikipedia.org/wiki/Mahatma_Gandhi 
12,personalities,Bhagat Singh ,Bhagat Singh was an Indian socialist revolutionary whose two acts of dramatic violence against the British in India and execution at age 23 made him a folk hero of the Indian independence movement.,https://imgur.com/lC65ynO.png,https://en.wikipedia.org/wiki/Bhagat_Singh 
13,personalities,Mother Teresa,"Mother Mary Teresa Bojaxhiu, honoured in the Catholic Church as Saint Teresa of Calcutta, was an Albanian-Indian Roman Catholic nun and missionary. She was born in Skopje (now the capital of North Macedonia).After living in Skopje for eighteen years, she moved to Ireland and then to India, where she lived for most of her life.
In 1950, Teresa founded the Missionaries of Charity, a Roman Catholic religious congregation that had over 4,500 nuns and was active in 133 countries in 2012",https://i.imgur.com/zheYwG5.jpeg,https://en.wikipedia.org/wiki/Mother_Teresa 
14,mythology,Goddess Saraswati,"Saraswati is the Hindu goddess of knowledge, music, art, speech, wisdom, and learning. She is a part of the trinity (Tridevi) of Saraswati, Lakshmi, and Parvati. All the three equal forms unite with the trinity of Brahma, Vishnu, and Shiva to create, maintain, and regenerate the Universe, respectively.",https://i.imgur.com/fQqXx5i.jpeg,https://en.wikipedia.org/wiki/Saraswati 
15,mythology,Christian Symbol,"Christian symbols are used to honor beliefs of the faith such as the crucifixion and resurrection. They have also been used to conceal the identity of believers. Three important symbols are the cross, fish, and the Greek letters alpha and omega.",https://i.imgur.com/wyy1iFk.jpeg,https://en.wikipedia.org/wiki/Christian_symbolism
16,mythology,Om,"Om or Aumi s the sound of a sacred spiritual symbol in Indian religions. It signifies the essence of the ultimate reality, consciousness or Atman. More broadly, it is a syllable that is chanted either independently or before a spiritual recitation in Hinduism, Buddhism, and Jainism.The meaning and connotations of Om vary between the diverse schools within and across the various traditions. It is also part of the iconography found in ancient and medieval era manuscripts, temples, monasteries and spiritual retreats in Hinduism, Buddhism, Jainism, and Sikhism.",https://i.imgur.com/98TQ4hE.jpeg,https://en.wikipedia.org/wiki/Om
17,mythology,Symbol Of Peace,"The dove has been a symbol of peace and innocence for thousands of years in many different cultures. In ancient Greek mythology it was a symbol of love and the renewal of life and in ancient Japan a dove carrying a sword symbolised the end of war. Early Christians portrayed baptism accompanied by a dove, often on their sepulchres and in the story of Noah in the Bible, when the flood waters receded, Noah sent out a dove which returned with an olive leaf, to show that the Biblical flood was over and that life had returned to Earth. Ever since, in the Christian faith, the dove has symbolised deliverance and God’s forgiveness.",https://i.imgur.com/CZSbIdo.jpeg,https://en.wikipedia.org/wiki/Peace_symbols
18,personalities,Swani vivekananda,"Swami Vivekananda , born Narendranath Datta , was an Indian Hindu monk. He was a chief disciple of the 19th-century Indian mystic Ramakrishna. He was a key figure in the introduction of the Indian philosophies of Vedanta and Yoga to the Western world, and is credited with raising interfaith awareness, bringing Hinduism to the status of a major world religion during the late 19th century. He was a major force in the contemporary Hindu reform movements in India, and contributed to the concept of nationalism in colonial India. Vivekananda founded the Ramakrishna Math and the Ramakrishna Mission. He is perhaps best known for his speech which began with the words ""Sisters and brothers of America ...,"" in which he introduced Hinduism at the Parliament of the World's Religions in Chicago in 1893.",https://i.imgur.com/ClBbbXH.jpeg,https://en.wikipedia.org/wiki/Swami_Vivekananda
19,personalities,Mahatma gandhi,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule and in turn inspired movements for civil rights and freedom across the world.Gandhi's birthday, 2 October, is commemorated in India as Gandhi Jayanti, a national holiday, and worldwide as the International Day of Nonviolence. Gandhi is commonly, though not formally, considered the Father of the Nation in India and was commonly called Bapu",https://i.imgur.com/rVkRyWN.png,https://en.wikipedia.org/wiki/Mahatma_Gandhi
